gene	repli-seq
ASPH	44.1735
ASPHD1	82.3262
ASPHD2	75.8319
ASPM	39.6772
ASPSCR1	81.0622
ASRGL1	74.64
ASS1	68.5202
ASTE1	64.5473
ASTN2	25.3905
ASUN	78.8826
ASXL1	78.3406
ASXL2	72.5137
ATAD1	75.0178
ATAD2	71.4359
ATAD2B	77.6066
ATAD3A	78.5248
ATAD3B	78.7307
ATAD5	79.0418
ATAT1	77.9407
ATE1	46.4081
ATF1	75.2051
ATF2	54.8758
ATF3	79.1328
ATF4	79.2679
ATF5	78.4574
ATF6	78.6604
ATF6B	76.834
ATF7	78.1642
ATF7IP	54.1737
ATF7IP2	69.0157
ATG10	65.2651
ATG12	57.7461
ATG13	77.7743
ATG14	74.069
ATG16L1	78.3666
ATG16L2	78.3717
ATG2A	79.9754
ATG2B	67.457
ATG3	76.3015
ATG4A	37.4713
ATG4B	75.9479
ATG4C	66.2173
ATG4D	80.1921
ATG5	77.4105
ATG7	59.5823
ATG9A	75.9647
ATG9B	73.6307
ATHL1	75.4664
ATIC	61.9934
ATL1	76.5001
ATL2	73.2005
ATL3	75.8783
ATM	67.1052
ATMIN	65.5489
ATN1	78.0881
ATOH1	28.0135
ATOH7	63.2248
ATOH8	77.2644
ATOX1	75.6475
ATP10D	63.159
ATP11A	62.7005
ATP11B	73.3885
ATP11C	27.3702
ATP13A1	75.1347
ATP13A2	67.9236
ATP13A3	70.909
ATP1A1	65.3202
ATP1A2	77.6512
ATP1A3	77.7345
ATP1A4	78.6244
ATP1B1	60.0527
ATP1B2	79.2623
ATP1B3	65.5754
ATP2A2	79.6725
ATP2A3	79.9173
ATP2B1	66.7246
ATP2B2	71.7324
ATP2B3	42.0832
ATP2B4	73.1562
ATP2C1	72.5174
ATP5A1	73.9579
ATP5B	79.624
ATP5C1	66.8303
ATP5D	79.5801
ATP5E	73.5459
ATP5F1	81.7125
ATP5G1	74.9225
ATP5G2	77.2186
ATP5G3	54.5825
ATP5H	80.9763
ATP5I	69.7281
ATP5J	72.8132
ATP5J2	75.2853
ATP5J2-PTCD1	75.2853
ATP5L	78.8991
ATP5O	76.9431
ATP5SL	77.6552
ATP6AP1	49.3957
ATP6AP2	58.5214
ATP6V0A1	79.4418
ATP6V0A2	75.8729
ATP6V0B	77.36
ATP6V0C	76.467
ATP6V0D1	79.8674
ATP6V0E1	71.9777
ATP6V0E2	59.5116
ATP6V1A	77.1622
ATP6V1B2	35.3268
ATP6V1C1	79.0789
ATP6V1C2	68.8023
ATP6V1D	69.5567
ATP6V1E1	73.3937
ATP6V1E2	74.0482
ATP6V1F	77.9617
ATP6V1G1	67.7534
ATP6V1G2	76.233
ATP6V1H	75.4249
ATP7A	39.6732
ATP8A1	61.3456
ATP8B1	64.7534
ATP8B2	76.4817
ATP8B3	80.0017
ATP9B	43.2731
ATPAF1	68.9334
ATPAF2	79.623
ATPIF1	78.8993
ATR	58.244
ATRAID	77.1884
ATRIP	78.6094
ATRN	71.0114
ATRX	37.3212
ATXN1	73.3658
ATXN10	66.4391
ATXN1L	77.6448
ATXN2	77.0166
ATXN2L	78.2756
ATXN3	68.9359
ATXN7	26.4114
ATXN7L1	72.1018
